#{"t_start": 1767870456.440601, "env_id": "LunarLander-v3"}
r,l,t
-53.913056,1000,2174.727394
-91.28722,1000,2217.277145
-122.898767,165,2217.463115
-36.404587,1000,2218.696275
-107.216297,179,2218.934509
-98.878607,180,2219.178706
-55.751543,1000,2220.347673
-77.670996,1000,2221.500147
-46.430218,1000,2222.601728
-122.970438,274,2222.904057
-67.197885,1000,2224.006526
-17.340219,1000,2225.111743
-111.375136,137,2225.268628
-52.918688,1000,2226.375049
-91.808754,145,2226.528151
-25.380615,1000,2227.628252
-33.129498,1000,2258.637363
-128.203173,157,2258.84519
-45.568172,1000,2260.105416
-98.417547,136,2260.276924
-47.616009,1000,2261.505262
-28.664128,1000,2262.722394
7.757083,1000,2263.939698
-117.69575,134,2264.108135
-33.683354,1000,2265.422838
-126.109202,122,2265.581234
-138.514394,476,2266.215231
-112.207198,134,2266.388245
-121.757358,326,2266.814669
-65.667707,1000,2268.124104
-54.413083,1000,2269.376656
-33.74729,1000,2311.396319
-18.164022,1000,2312.634031
-126.350659,159,2312.824302
-46.791794,1000,2314.015816
-75.544215,1000,2315.124835
-92.335271,159,2315.29775
-108.837584,170,2315.484034
-107.561649,1000,2316.594602
-47.122049,1000,2317.705969
-119.327353,143,2317.858089
-113.019655,1000,2318.954261
-68.583931,1000,2320.062392
-84.928337,152,2320.228425
-82.536337,231,2320.487025
-58.612731,1000,2321.567674
-34.420559,1000,2363.736188
-129.169029,175,2363.952719
-34.628398,1000,2365.107271
-47.337181,1000,2366.236245
-95.114605,1000,2367.344317
-68.085394,1000,2368.443235
-77.642596,1000,2369.546334
-20.133647,1000,2370.626379
-53.600164,1000,2371.716311
-87.888829,193,2371.928998
-77.863269,1000,2373.116109
-93.737768,203,2373.355259
-44.082243,1000,2374.514957
-105.82227,213,2412.59502
-22.942194,1000,2413.946216
-38.024112,1000,2415.05214
-124.851461,195,2415.264999
-37.41736,1000,2416.357213
-97.53684,146,2416.5139
-91.162469,173,2416.707931
-17.487611,1000,2417.820096
-20.978758,1000,2418.925222
-88.205951,146,2419.08523
-67.622666,150,2419.255421
-39.879107,1000,2420.412026
-57.921765,1000,2421.552977
-23.234528,1000,2422.698901
-43.334344,1000,2423.834309
-42.318918,1000,2464.394198
-39.80723,1000,2465.501334
137.890086,837,2466.416652
-86.487001,196,2466.634028
-37.916753,1000,2467.719908
44.361666,1000,2468.824205
108.401837,906,2469.821357
-109.256761,153,2469.99262
-33.700525,1000,2471.084118
-110.607455,452,2471.591755
69.010323,1000,2472.709429
-58.036129,178,2472.90278
-90.360532,236,2473.165079
-114.748958,155,2473.338526
-40.945765,1000,2520.527726
173.296732,785,2521.692656
136.315229,958,2522.905144
-63.919938,1000,2524.049792
-20.900407,1000,2525.161749
-30.061247,1000,2526.275379
-101.8842,226,2526.52677
149.860971,887,2527.527097
9.505299,1000,2528.629144
-76.596655,144,2528.794849
-31.36764,1000,2529.899555
-91.00321,161,2530.080635
-94.752016,174,2530.271653
-96.033822,165,2530.457151
-103.719902,149,2530.629967
-25.261244,1000,2531.724705
-15.289786,1000,2567.885263
-20.814271,1000,2568.993447
-73.687936,154,2569.163321
-95.752387,187,2569.369319
83.731517,837,2570.289809
-82.511023,1000,2571.361791
23.346982,1000,2572.441757
171.37469,716,2573.212955
-77.21547,1000,2574.300505
-85.794458,150,2574.464245
156.795623,850,2575.385121
-35.120283,1000,2576.494346
137.464793,751,2577.32709
-54.369971,1000,2617.588522
146.265817,883,2618.576516
-19.404957,1000,2619.71095
-14.514887,1000,2620.809278
-119.716739,247,2621.078688
-41.386892,1000,2622.17307
-71.436759,248,2622.454733
4.536189,1000,2623.562536
-88.876706,179,2623.759722
22.024245,1000,2624.862426
6.596403,1000,2625.977036
74.525208,958,2627.05136
-91.933334,150,2627.218646
-29.406789,1000,2628.32694
-62.944939,1000,2668.017601
-32.758806,1000,2669.307733
138.24898,771,2670.270622
92.78016,954,2671.43416
-101.745387,243,2671.710418
-1.600992,1000,2672.872119
-107.634865,217,2673.133207
152.134172,661,2673.916898
-155.439453,575,2674.56125
-12.021187,1000,2675.687099
-41.259594,1000,2676.795877
-34.923977,1000,2677.913294
-56.505786,1000,2713.783033
-53.586246,180,2713.994182
-17.388247,1000,2715.151785
-31.936462,1000,2716.277479
126.819767,833,2717.218444
-100.331163,967,2718.281494
86.211003,958,2719.369348
-29.29799,1000,2720.46715
107.424476,958,2721.518839
-90.326768,187,2721.726621
123.305944,640,2722.439823
-43.498257,1000,2723.546937
-68.41018,1000,2763.685207
62.300819,938,2764.871558
128.577647,931,2766.015719
22.514653,1000,2767.312984
161.587564,916,2768.525812
108.673998,968,2769.806737
-29.565793,1000,2770.925426
137.571103,562,2771.547013
-99.072073,223,2771.797376
-4.440036,1000,2772.899995
117.000445,844,2773.840505
127.845218,887,2774.810885
123.786157,777,2818.262377
-38.929251,1000,2819.380854
152.825624,829,2820.299552
2.010255,1000,2821.403884
138.186614,863,2822.359362
-24.076949,1000,2823.448124
185.420863,680,2824.196218
139.510685,769,2825.058787
-38.034474,804,2825.95741
-52.05782,1000,2827.033884
111.608434,972,2828.117888
-17.036398,1000,2870.025867
-55.221359,1000,2871.284993
84.071585,1000,2872.521522
-37.984658,197,2872.749297
-42.96215,1000,2873.891765
180.690252,622,2874.596249
-59.170291,1000,2875.711734
155.723805,852,2876.654275
157.721703,834,2877.602411
215.213034,667,2878.352507
153.334793,691,2879.122051
114.632495,835,2880.052804
156.730492,984,2881.144043
134.186349,836,2925.130388
-19.542893,1000,2926.220237
-1.074616,74,2926.296323
203.368112,734,2927.098503
45.055443,291,2927.411665
221.95435,543,2928.0123
183.626563,510,2928.567259
58.373899,1000,2929.679554
168.182909,881,2930.675499
81.71408,1000,2931.795332
93.548305,959,2932.865328
188.54026,679,2933.630511
159.576606,599,2934.304226
14.685253,1000,2935.415249
79.122882,958,2976.668264
13.220423,1000,2977.829922
228.891677,542,2978.439925
-7.809362,1000,2979.53827
-56.258999,379,2979.955224
102.82313,946,2981.016428
157.92283,440,2981.51328
193.649061,555,2982.118129
-17.302043,1000,2983.209389
195.212692,562,2983.828215
224.161663,427,2984.304009
-44.746807,1000,2985.417751
7.78218,1000,2986.528435
-39.967755,1000,3038.478812
41.901854,1000,3039.727778
166.754374,403,3040.174767
-57.728698,1000,3041.274172
193.301231,603,3041.943859
-49.259434,1000,3043.047377
159.602228,337,3043.42018
219.310402,817,3044.320017
131.608514,1000,3045.43732
-60.718939,1000,3046.537187
197.391651,539,3047.120828
147.122756,602,3047.777624
-14.281653,1000,3048.854364
-47.135736,1000,3091.032882
160.005782,979,3092.138943
-17.331849,1000,3093.329867
28.058117,1000,3094.495616
192.152615,232,3094.75384
276.664187,354,3095.144892
-82.00489,1000,3096.246937
160.661636,635,3096.949378
-65.008445,481,3097.478483
-17.414901,1000,3098.569047
153.566969,286,3098.884467
169.816179,665,3099.596914
-28.914411,1000,3100.663902
89.160733,1000,3146.673903
-38.014742,469,3147.208979
192.497963,486,3147.770247
196.235844,554,3148.381238
93.176991,1000,3149.498376
114.319317,854,3150.445546
-31.338258,202,3150.66172
-62.876343,1000,3151.74693
183.014481,590,3152.421793
164.301619,675,3153.197793
262.718334,352,3153.602776
139.253063,873,3154.619886
146.696696,326,3154.988565
285.414495,366,3155.402057
236.032495,392,3155.838562
155.367172,771,3156.686772
158.667513,352,3157.081672
226.09516,380,3190.76505
-17.099001,1000,3191.914894
195.467367,659,3192.669495
202.274863,301,3193.002732
182.157576,550,3193.612799
225.664563,521,3194.176348
201.230327,495,3194.715199
238.675531,472,3195.229088
-38.434212,1000,3196.312156
239.098413,407,3196.757198
255.242694,377,3197.165254
32.144085,149,3197.335273
-11.308178,1000,3198.406785
112.845035,846,3199.33144
230.694831,538,3199.924206
205.167462,308,3200.269479
-22.684118,1000,3201.362508
142.104054,624,3235.506641
165.594529,587,3236.321346
247.518778,349,3236.799619
224.926332,999,3238.166235
269.987571,348,3238.640776
29.52431,187,3238.893374
92.737781,1000,3240.246019
267.960465,325,3240.642063
57.365997,200,3240.886998
106.540309,851,3241.952738
-49.771928,1000,3243.176073
283.406846,377,3243.635618
62.303742,1000,3244.87433
-60.216422,1000,3246.064027
-45.775047,453,3246.577212
82.293053,1000,3275.530345
143.180021,386,3275.977062
216.62698,388,3276.420543
53.118236,1000,3277.555331
-23.260041,1000,3278.65754
87.16797,874,3279.624091
234.680273,331,3279.993332
169.700234,418,3280.456864
61.104945,1000,3281.56331
248.497966,501,3282.112722
211.772384,309,3282.448831
281.502206,313,3282.796016
184.378873,419,3283.242421
249.054923,293,3283.561372
282.571554,253,3283.839552
152.694288,406,3284.282597
214.427562,657,3285.006246
199.377179,511,3285.566967
182.865429,382,3285.997092
271.138532,357,3286.397237
-25.174372,1000,3315.831517
-32.472892,1000,3317.133233
177.518541,955,3318.420028
186.149862,493,3319.065413
250.641098,320,3319.462228
196.157242,453,3319.985157
252.22992,329,3320.353834
283.174876,405,3320.80052
214.580287,417,3321.259539
282.773035,928,3322.282047
312.587415,218,3322.522374
257.322756,331,3322.878833
219.899712,292,3323.204837
221.312855,815,3324.131577
-4.21287,1000,3325.258055
226.652011,368,3325.680809
40.473919,1000,3367.098
-51.826767,1000,3368.225233
295.85312,358,3368.627178
183.246295,334,3369.002254
226.073809,323,3369.362254
6.110864,1000,3370.482381
206.889458,583,3371.140144
-60.730166,1000,3372.246849
257.242932,507,3372.822862
242.365099,430,3373.305182
-92.954799,918,3374.340258
80.73545,877,3375.301924
-18.86163,1000,3376.397262
271.325223,259,3376.682048
-32.65835,1000,3377.783993
269.710275,275,3404.877509
-26.441221,1000,3406.220319
252.208135,245,3406.521908
221.12326,618,3407.289074
195.239689,483,3407.840817
267.291461,476,3408.374933
244.796056,671,3409.125952
215.036214,468,3409.654037
145.306806,820,3410.570679
151.476722,481,3411.097651
144.104724,940,3412.141223
112.916211,734,3412.943079
-37.724143,1000,3414.037782
239.933177,382,3414.462917
247.647087,460,3414.974111
221.445766,426,3415.444393
218.114081,589,3416.093794
254.328598,376,3474.387959
173.04893,578,3475.703954
179.943635,1000,3478.042628
276.951039,316,3478.781752
-86.044585,1000,3481.011642
157.076055,797,3482.852179
114.220591,744,3484.487392
-43.853784,1000,3486.724834
289.539978,323,3487.406925
286.189424,375,3488.218366
243.00173,400,3489.075931
180.176752,511,3490.182798
266.181981,269,3490.751153
251.97476,358,3491.532435
173.199989,519,3492.657999
277.449874,306,3493.323106
204.637572,389,3494.184104
271.447154,260,3494.762897
168.145902,762,3549.76187
-6.30248,1000,3551.977223
192.177646,470,3553.093045
264.053417,309,3553.771282
284.922927,245,3554.309278
-0.926846,1000,3556.638241
-31.166854,1000,3558.786976
246.750928,311,3559.457914
224.635576,422,3560.371019
-0.668552,1000,3562.542188
199.445599,381,3563.373021
173.903827,487,3564.466756
-13.436066,1000,3566.676967
187.861638,421,3567.614976
269.407696,306,3568.319243
58.793794,1000,3570.613883
257.229701,326,3571.320177
184.775958,459,3613.173836
-28.312124,1000,3614.537574
252.875644,344,3615.008726
239.177417,361,3615.530164
209.88603,406,3616.074242
240.647453,473,3616.628368
192.421953,577,3617.297692
245.283735,404,3617.750097
271.63442,465,3618.280735
266.070714,361,3618.685863
210.437546,446,3619.183859
231.201728,382,3619.611805
111.12224,702,3620.399527
268.070306,266,3620.704722
210.264748,386,3621.123823
149.920995,514,3621.687818
213.843109,790,3622.567698
251.839728,326,3622.93413
238.599791,447,3623.429984
235.095929,460,3623.97303
272.714905,713,3662.443959
275.922617,251,3662.775819
234.749096,357,3663.242196
223.309643,397,3663.748602
206.201454,417,3664.275127
227.543805,468,3664.862218
180.434744,438,3665.416736
245.460034,360,3665.868904
-28.18957,1000,3667.107292
-37.2345,1000,3668.282849
216.771128,453,3668.773741
288.190367,263,3669.06889
292.914048,226,3669.317185
119.717709,1000,3670.423939
166.443788,480,3670.946061
179.650804,504,3671.504932
117.481362,912,3672.502185
146.364253,650,3673.221201
190.045267,620,3673.901052
262.751599,258,3701.255811
42.434964,1000,3702.416943
203.553016,408,3702.881653
241.984506,354,3703.277261
115.644688,748,3704.100451
283.036922,253,3704.380558
163.81484,990,3705.464107
240.699786,381,3705.88002
243.71509,355,3706.27219
204.223986,593,3706.933683
252.265779,384,3707.357142
225.863211,549,3707.958459
120.315775,880,3708.934698
206.086013,384,3709.356669
213.795444,429,3709.82933
112.703271,1000,3710.938624
265.934606,333,3711.306848
243.884501,370,4636.185348
233.932297,367,4636.36269
-6.053711,1000,4636.843745
238.140121,283,4636.978855
263.258157,301,4637.130428
215.061729,450,4637.353625
235.11871,362,4637.530176
293.262675,294,4637.671291
4.084801,1000,4638.152067
249.405672,403,4638.352473
251.25129,319,4650.222253
218.915651,502,4650.469331
188.478362,625,4650.775754
220.3607,474,4651.005631
258.271172,274,4651.142006
223.341214,331,4651.308602
199.796016,432,4651.524244
216.209482,428,4651.740173
245.846117,358,4651.92013
275.418523,275,4652.057741
41.618346,1000,4678.188215
