#{"t_start": 1767870456.440601, "env_id": "LunarLander-v3"}
r,l,t
-224.126865,104,1100.000026
-32.711677,73,1100.055343
-111.662559,76,1100.112783
-109.048513,129,1100.221533
-210.022719,77,1100.280907
7.943053,120,1100.366817
-40.014605,132,1100.463468
-198.93209,87,1100.530381
-217.813726,116,1100.614561
-137.520101,67,1100.665083
-315.32026,91,1100.736058
-201.997329,76,1100.789436
-66.251458,106,1100.873506
-174.730628,103,1100.942729
-134.752696,88,1101.009834
-262.454262,82,1101.073253
-166.625048,91,1101.139373
-153.075938,89,1101.206146
-140.496913,72,1101.260177
-148.110475,127,1101.354214
-265.231801,132,1101.451438
11.710854,105,1101.53555
-471.151203,93,1101.602278
-90.653903,137,1101.697621
-208.108506,107,1101.779118
-220.854683,96,1101.849998
-69.060627,117,1101.931868
-78.203247,103,1102.004624
-190.839422,116,1102.090878
-63.570553,71,1102.140999
-138.035167,64,1102.185154
-83.302025,65,1102.229708
-167.226588,115,1102.31633
-79.101497,90,1102.38078
-135.160334,105,1102.457159
-164.779822,120,1102.543056
-95.074671,97,1102.612613
-158.494072,115,1102.699822
-159.868508,103,1102.77733
-89.502394,82,1102.840966
-113.675628,115,1102.935366
-141.584495,94,1103.000878
-137.911261,89,1103.063587
-218.156337,106,1103.143713
-70.995443,142,1103.247111
-111.308681,87,1103.312517
-91.991335,74,1103.364601
-5.627228,93,1103.43329
-207.22105,105,1103.511342
-92.641345,84,1103.572185
-106.701063,91,1103.639744
-3.220635,92,1103.715298
-206.037091,77,1103.769124
-224.777012,136,1103.870719
-86.17302,126,1103.964761
-205.115452,129,1104.058421
111.967795,1000,1104.84039
-155.830003,67,1104.891469
-119.270368,76,1104.947495
-278.769144,105,1105.021414
-383.181251,102,1105.094941
-164.541955,95,1105.167263
-24.914112,67,1105.217359
-112.469241,83,1105.280943
-286.249567,114,1105.364666
-239.906357,89,1105.42614
-95.625511,88,1105.496221
-61.62246,66,1105.546275
-132.938927,128,1105.638886
-121.03313,117,1105.72472
-82.264185,102,1105.803274
-168.047665,105,1105.882466
-137.918124,84,1105.947218
-119.805145,84,1106.008425
-160.693827,111,1106.092786
-352.513759,128,1106.188209
-28.988234,126,1106.283116
-132.913884,152,1106.399601
-252.468048,130,1106.494455
-87.81293,164,1106.616432
-102.812372,82,1106.676799
-117.436485,111,1106.760369
-93.256972,99,1106.835904
-30.530178,147,1168.11051
-91.032265,106,1168.210271
-103.10208,95,1168.29103
-320.342033,170,1168.423465
-243.209396,126,1168.524329
-197.215192,101,1168.602323
-73.04761,73,1168.657578
-300.071975,116,1168.748479
-134.028125,95,1168.821276
-258.601189,91,1168.892156
-218.872134,110,1168.976276
-86.563755,89,1169.046937
-59.087347,109,1169.133121
-71.237441,112,1169.216894
