#{"t_start": 1768573544.1043997, "env_id": "BipedalWalker-v3"}
r,l,t
-109.618772,41,82.559072
-139.047485,495,103.175411
-134.536352,900,257.200559
-111.708434,37,263.669371
-125.571146,190,291.713024
-99.227373,79,301.95474
210.299302,1600,542.808434
288.903759,1054,694.506114
298.228341,914,841.069031
