#{"t_start": 1768573542.8101318, "env_id": "BipedalWalker-v3"}
r,l,t
-101.199633,99,84.096293
-104.266337,100,84.502015
-123.763928,113,84.93755
-127.837369,228,105.078947
-125.509346,466,198.786821
-99.224514,159,219.774318
-99.249893,95,232.883624
-101.314361,81,244.423295
101.59244,1600,481.948029
282.454592,1136,652.625976
-55.386316,177,676.620387
0.585726,388,735.69274
299.794057,896,898.588411
