#{"t_start": 1768573544.1855648, "env_id": "BipedalWalker-v3"}
r,l,t
-102.779801,67,82.592512
-117.647626,60,82.827906
-100.983665,63,83.085247
-103.282471,61,83.333956
-133.792166,721,169.63609
-103.574802,68,201.979995
-127.139483,1266,386.689467
263.891224,1387,595.121951
58.529927,582,678.248984
295.647415,950,828.929824
304.818296,855,1002.253106
