iter	Passed	Remaining
281	1843	4692
282	1850	4687
283	1857	4682
284	1863	4674
285	1870	4668
286	1878	4666
287	1886	4662
288	1893	4657
289	1902	4657
290	1909	4651
291	1915	4644
292	1922	4638
293	1928	4631
294	1933	4620
295	1939	4612
296	1943	4599
297	1949	4592
298	1956	4585
299	1962	4579
300	1970	4575
301	1977	4570
302	1983	4562
303	1987	4551
304	1994	4544
305	2001	4539
306	2007	4532
307	2014	4525
308	2021	4520
309	2027	4513
310	2033	4506
311	2038	4494
312	2043	4485
313	2050	4478
314	2056	4472
315	2062	4465
316	2069	4457
317	2075	4450
318	2086	4453
319	2092	4446
320	2098	4439
321	2104	4432
322	2112	4426
323	2118	4419
324	2124	4413
325	2132	4408
326	2141	4406
327	2147	4400
328	2153	4391
329	2160	4386
330	2175	4396
331	2181	4389
332	2188	4382
333	2194	4375
334	2200	4367
335	2207	4362
336	2214	4357
337	2221	4350
338	2227	4342
339	2234	4337
340	2240	4329
341	2246	4321
342	2252	4314
343	2260	4309
344	2266	4303
345	2272	4295
346	2278	4288
347	2286	4282
348	2293	4277
349	2299	4270
350	2305	4263
351	2312	4256
352	2318	4249
353	2325	4242
354	2330	4235
355	2337	4227
356	2343	4220
357	2349	4212
358	2355	4206
359	2361	4198
360	2367	4190
361	2374	4184
362	2380	4177
363	2388	4172
364	2394	4165
365	2401	4159
366	2407	4152
367	2414	4146
368	2421	4140
369	2427	4133
370	2447	4149
371	2452	4140
372	2458	4132
373	2465	4127
374	2472	4120
375	2478	4112
376	2484	4106
377	2492	4101
378	2498	4094
379	2504	4086
380	2511	4080
381	2519	4076
382	2525	4068
383	2532	4061
384	2538	4055
385	2545	4049
386	2552	4043
387	2555	4031
388	2561	4024
389	2568	4017
390	2575	4011
391	2598	4030
392	2605	4024
393	2611	4016
394	2617	4008
395	2623	4000
396	2629	3994
397	2636	3987
398	2642	3980
399	2648	3972
400	2654	3964
401	2660	3957
402	2666	3949
403	2672	3942
404	2678	3934
405	2683	3926
406	2689	3918
407	2695	3911
408	2701	3904
409	2708	3897
410	2714	3890
411	2720	3882
412	2726	3874
413	2732	3867
414	2738	3859
415	2744	3852
416	2750	3844
417	2756	3837
418	2763	3831
419	2770	3825
420	2777	3819
421	2783	3813
422	2790	3806
423	2796	3798
424	2802	3791
425	2810	3786
426	2816	3779
427	2823	3773
428	2829	3765
429	2836	3760
430	2843	3754
431	2849	3746
432	2856	3740
433	2863	3733
434	2870	3728
435	2876	3720
436	2883	3714
437	2901	3722
438	2907	3715
439	2914	3708
440	2931	3716
441	2938	3710
442	2946	3704
443	2962	3709
444	2970	3705
445	2977	3698
446	2983	3691
447	2989	3684
448	2997	3677
449	3007	3676
450	3014	3668
451	3020	3662
452	3027	3656
453	3034	3649
454	3040	3642
455	3048	3636
456	3055	3630
457	3061	3623
458	3068	3616
459	3076	3610
460	3082	3604
461	3089	3597
462	3101	3597
463	3106	3588
464	3113	3582
465	3120	3575
466	3126	3568
467	3132	3561
468	3139	3554
469	3164	3568
470	3170	3561
471	3177	3554
472	3183	3546
473	3193	3543
474	3198	3535
475	3205	3529
476	3213	3522
477	3219	3515
478	3226	3509
479	3233	3503
480	3241	3497
481	3247	3490
482	3253	3482
483	3260	3475
484	3268	3470
485	3274	3463
486	3281	3456
487	3287	3449
488	3300	3448
489	3305	3440
490	3313	3435
491	3330	3438
492	3336	3431
493	3344	3425
494	3349	3417
495	3355	3409
496	3361	3402
497	3368	3395
498	3374	3388
499	3381	3381
500	3388	3375
501	3395	3368
502	3401	3360
503	3407	3353
504	3414	3346
505	3420	3339
506	3427	3332
507	3433	3325
508	3439	3318
509	3445	3310
510	3451	3303
511	3457	3295
512	3463	3288
513	3469	3280
514	3475	3273
515	3481	3265
516	3487	3258
517	3493	3250
518	3499	3243
519	3504	3235
520	3510	3227
521	3516	3220
522	3521	3212
523	3528	3204
524	3533	3197
525	3539	3189
526	3545	3182
527	3551	3174
528	3557	3167
529	3563	3160
530	3569	3152
531	3575	3145
532	3581	3138
533	3587	3130
534	3593	3123
535	3599	3115
536	3605	3108
537	3610	3100
538	3617	3094
539	3623	3086
540	3629	3079
541	3635	3071
542	3640	3063
543	3645	3056
544	3652	3049
545	3658	3041
546	3664	3034
547	3670	3027
548	3675	3019
549	3681	3012
550	3687	3005
551	3694	2998
552	3700	2991
553	3706	2983
554	3711	2976
555	3717	2968
556	3723	2961
557	3728	2953
558	3734	2945
559	3739	2938
560	3745	2930
561	3751	2923
562	3757	2916
563	3762	2908
564	3768	2901
565	3774	2894
566	3780	2886
567	3786	2879
568	3791	2872
569	3797	2865
570	3817	2868
571	3822	2860
572	3828	2852
573	3833	2845
574	3839	2837
575	3845	2830
576	3852	2824
577	3857	2816
578	3864	2809
579	3870	2802
580	3876	2795
581	3883	2788
582	3889	2782
583	3895	2775
584	3901	2768
585	3908	2760
586	3913	2753
587	3919	2746
588	3926	2739
589	3932	2732
590	3938	2725
591	3944	2718
592	3950	2711
593	3956	2704
594	3962	2696
595	3968	2689
596	3974	2682
597	3979	2675
598	3985	2668
599	3991	2661
600	3998	2654
601	4004	2647
602	4010	2640
603	4015	2632
604	4021	2625
605	4027	2618
606	4033	2611
607	4039	2604
608	4045	2597
609	4051	2590
610	4057	2583
611	4063	2576
612	4069	2568
613	4075	2561
614	4080	2554
615	4086	2547
616	4092	2540
617	4098	2533
618	4104	2526
619	4110	2519
620	4116	2512
621	4122	2505
622	4128	2498
623	4135	2491
624	4140	2484
625	4147	2477
626	4152	2470
627	4158	2463
628	4164	2456
629	4170	2449
630	4176	2442
631	4181	2434
632	4187	2427
633	4193	2420
634	4199	2413
635	4205	2406
636	4211	2399
637	4217	2392
638	4223	2386
639	4229	2379
640	4236	2372
641	4242	2365
642	4248	2359
643	4255	2352
644	4262	2346
645	4268	2339
646	4275	2332
647	4282	2326
648	4288	2319
649	4295	2312
650	4302	2306
651	4309	2299
652	4316	2293
653	4322	2286
654	4329	2280
655	4335	2273
656	4342	2267
657	4348	2260
658	4354	2253
659	4360	2246
660	4366	2239
661	4373	2232
662	4379	2225
663	4385	2219
664	4391	2212
665	4397	2205
666	4403	2198
667	4409	2191
668	4416	2184
669	4422	2178
670	4428	2171
671	4434	2164
672	4440	2157
673	4446	2150
674	4452	2143
675	4458	2137
676	4466	2130
677	4472	2124
678	4479	2117
679	4485	2110
680	4491	2103
681	4497	2097
682	4504	2090
683	4510	2083
684	4516	2076
685	4522	2070
686	4528	2063
687	4533	2056
688	4540	2049
689	4546	2042
690	4552	2035
691	4558	2028
692	4563	2021
693	4569	2014
694	4575	2007
695	4580	2000
696	4586	1993
697	4592	1987
698	4598	1980
699	4603	1973
700	4609	1966
701	4615	1959
702	4620	1952
703	4626	1945
704	4632	1938
705	4637	1931
706	4643	1924
707	4649	1917
708	4654	1910
709	4660	1903
710	4666	1896
711	4672	1889
712	4678	1883
713	4685	1876
714	4691	1870
715	4698	1863
716	4705	1857
717	4711	1850
718	4718	1844
719	4725	1837
720	4732	1831
721	4738	1824
722	4744	1817
723	4751	1811
724	4757	1804
725	4762	1797
726	4769	1791
727	4775	1784
728	4781	1777
729	4787	1770
730	4793	1763
731	4799	1757
732	4805	1750
733	4811	1743
734	4817	1737
735	4823	1730
736	4829	1723
737	4835	1716
738	4840	1709
739	4846	1702
740	4859	1698
741	4864	1691
742	4870	1684
743	4876	1677
744	4881	1670
745	4887	1664
746	4893	1657
747	4899	1650
748	4905	1643
749	4912	1637
750	4918	1630
751	4925	1624
752	4934	1618
753	4939	1611
754	4945	1604
755	4951	1598
756	4958	1591
757	4965	1585
758	4971	1578
759	4977	1571
760	4983	1565
761	4990	1558
762	4996	1551
763	5002	1545
764	5009	1538
765	5015	1532
766	5021	1525
767	5027	1518
768	5033	1512
769	5039	1505
770	5045	1498
771	5051	1491
772	5057	1485
773	5064	1478
774	5070	1472
775	5077	1465
776	5083	1458
777	5089	1452
778	5097	1446
779	5104	1439
780	5111	1433
781	5118	1426
782	5131	1422
783	5137	1415
784	5145	1409
785	5152	1402
786	5158	1396
787	5163	1389
788	5169	1382
789	5175	1375
790	5181	1369
791	5187	1362
792	5193	1355
793	5199	1349
794	5205	1342
795	5212	1335
796	5218	1329
797	5224	1322
798	5230	1315
799	5236	1309
800	5242	1302
801	5248	1295
802	5254	1288
803	5260	1282
804	5266	1275
805	5271	1268
806	5277	1262
807	5283	1255
808	5288	1248
809	5294	1241
810	5299	1235
811	5305	1228
812	5311	1221
813	5317	1215
814	5323	1208
815	5329	1201
816	5335	1195
817	5341	1188
818	5347	1181
819	5353	1175
820	5359	1168
821	5365	1161
822	5370	1155
823	5376	1148
824	5382	1141
825	5387	1134
826	5393	1128
827	5399	1121
828	5405	1114
829	5411	1108
830	5416	1101
831	5422	1094
832	5429	1088
833	5435	1081
834	5441	1075
835	5447	1068
836	5453	1062
837	5460	1055
838	5466	1049
839	5472	1042
840	5478	1035
841	5485	1029
842	5491	1022
843	5499	1016
844	5506	1010
845	5512	1003
846	5519	996
847	5525	990
848	5530	983
849	5536	977
850	5542	970
851	5547	963
852	5553	957
853	5559	950
854	5564	943
855	5570	937
856	5576	930
857	5582	923
858	5587	917
859	5593	910
860	5599	903
861	5605	897
862	5611	890
863	5616	884
864	5622	877
865	5628	870
866	5633	864
867	5640	857
868	5646	851
869	5652	844
870	5659	838
871	5664	831
872	5670	824
873	5676	818
874	5682	811
875	5688	805
876	5693	798
877	5699	791
878	5705	785
879	5710	778
880	5716	772
881	5722	765
882	5728	759
883	5734	752
884	5739	745
885	5745	739
886	5752	732
887	5758	726
888	5764	719
889	5770	713
890	5775	706
891	5781	699
892	5786	693
893	5792	686
894	5798	680
895	5804	673
896	5810	667
897	5816	660
898	5822	654
899	5828	647
900	5834	641
901	5840	634
902	5846	628
903	5852	621
904	5857	614
905	5863	608
906	5869	601
907	5875	595
908	5882	588
909	5887	582
910	5893	575
911	5899	569
912	5904	562
913	5910	556
914	5916	549
915	5921	543
916	5927	536
917	5933	530
918	5939	523
919	5944	516
920	5950	510
921	5956	503
922	5962	497
923	5967	490
924	5973	484
925	5979	477
926	5985	471
927	5991	464
928	5997	458
929	6003	451
930	6009	445
931	6015	438
932	6022	432
933	6028	426
934	6034	419
935	6040	413
936	6046	406
937	6052	400
938	6057	393
939	6063	387
940	6069	380
941	6075	374
942	6081	367
943	6086	361
944	6092	354
945	6098	348
946	6104	341
947	6110	335
948	6117	328
949	6123	322
950	6129	315
951	6135	309
952	6141	302
953	6147	296
954	6152	289
955	6158	283
956	6164	276
957	6170	270
958	6176	264
959	6181	257
960	6187	251
961	6193	244
962	6199	238
963	6205	231
964	6211	225
965	6217	218
966	6223	212
967	6229	205
968	6235	199
969	6240	193
970	6246	186
971	6252	180
972	6258	173
973	6264	167
974	6270	160
975	6276	154
976	6282	147
977	6288	141
978	6293	135
979	6299	128
980	6305	122
981	6311	115
982	6316	109
983	6322	102
984	6327	96
985	6333	89
986	6338	83
987	6344	77
988	6350	70
989	6356	64
990	6361	57
991	6367	51
992	6373	44
993	6378	38
994	6385	32
995	6390	25
996	6396	19
997	6402	12
998	6409	6
999	6415	0
